sub,anger_high,disgust_high,fear_high,happy_high,neutral_high,pain_high,sad_high,anger_low,disgust_low,fear_low,happy_low,neutral_low,pain_low,sad_low
02,8,7.25,8.5,7.5,1,7.75,8,5,3,4.75,3,1,5.25,4.75
03,6.5,6.25,7.25,6.25,1.5,6.75,6.75,4,3.75,4.75,2.75,1,4.5,4
05,6,6.75,8.75,8.25,3,8,8.5,4.25,4.5,5,3.25,1.5,5.75,5.25
07,5.75,7,7.25,5.75,3.5,7.25,7.75,5,4,6,4,2.5,4.25,4.75
09,6.25,5.25,8.75,4.5,1,6.75,7,4.75,3.75,5.25,2.75,1,4.5,4.75
10,8,5.5,7,5.25,2.75,6.75,6.5,5.25,2.75,5,3.25,2.5,3.25,4.5
11,7.5,7.25,8.25,7,5,8,8,6.5,6,6.5,6,5,6.5,6.5
12,6,5,7.75,3,1,7.25,5,3,2.5,3.5,2,1,4.75,2.5
14,7.25,6.25,7.75,6,1.25,8.5,7.25,5,3.75,6,3.75,1,5.5,5.25
15,8.5,7,8.5,8,1.5,8.75,8.5,4.25,3.5,4,3.5,1,5,5
16,5,6,8.5,6,2.25,7.5,6.25,3.5,3.75,5.5,2.25,1.5,6,3.5
18,7,5.75,6,9,3,6.5,5.25,4.75,2.5,2.25,5.5,1,3.75,3
19,7.5,5.5,8.5,5,1.25,6.75,6.75,5,3.5,6.75,2.25,1,4.25,4
20,6.25,4,7.75,4.75,1.5,5,4.25,4.75,3.25,5,3,1,4.5,3.25
21,8.25,6.25,8,5.25,1.75,8.5,8.25,6,5.75,7,4,1,6.75,6
22,6,5.75,7.75,4.75,1,6.75,7.25,3.25,3.5,3.5,3.25,1,3.25,3.5
23,6.25,6.25,7.75,7,1,7.75,7.75,4.5,3.25,4.25,3,1,4,4
24,7,6.5,7.75,5,3.25,7.75,6.5,5.75,4.5,5.25,2.5,2.5,5.25,4.5
26,7.5,7,8.5,8,3.5,8.5,8,5.5,4.5,5,4.5,3,6.5,4.5
27,6.5,6.25,7.5,5,2.25,7.25,6.25,5.75,4.25,5.75,4,2.25,4.75,4.5
28,8,6.5,9,6.75,1.5,8.75,6,4.25,1.75,4.5,2.5,1,4,3.5
29,8,6.5,8.75,6,1.5,7.75,7.5,5.5,3.75,6,3.25,1.25,4.5,4.5
30,5.5,7,7,5,2.5,7.5,7,2.5,3.25,4,3,1,4,3.5
31,7.75,7.5,9,8.25,1.5,8.5,8,5,4.5,5.5,2.5,1,4.25,4.25
32,7,7.5,9,7,2.75,8.75,7.75,5.75,5,6,3.5,2.25,5.25,4.5
34,6.5,4,8,6,1,8,3,4.5,4,6.5,3.5,1.5,4.5,3
