"Yeo7","Yeo17","HO_cort","anatomy_toolbox"
4,7,44,41
4,7,2,41
4,7,2,96
4,8,1,27
4,7,44,80
4,4,8,1
4,7,2,102
4,7,2,17
4,8,2,17
4,4,44,80
4,7,2,80
4,8,2,94
4,7,2,43
4,7,2,24
4,8,41,40
4,8,33,94
4,8,1,42
4,8,41,17
4,8,41,86
4,7,42,55
4,7,42,1
4,7,41,86
4,8,41,42
4,7,2,56
4,7,42,17
4,8,6,12
4,8,41,94
4,7,41,94
4,8,5,42
4,4,42,55
4,7,6,12
4,7,41,40
4,4,2,56
4,7,2,25
4,7,7,12
4,7,41,17
4,14,20,79
4,14,21,15
4,14,20,3
4,7,20,79
4,4,10,79
4,7,43,22
4,7,43,72
4,7,42,72
4,7,42,56
4,7,20,3
4,7,43,106
4,12,6,12
4,14,20,15
4,8,20,3
4,7,17,106
4,12,7,12
4,6,7,12
4,8,29,5
4,8,20,79
4,7,20,15
4,8,20,15
4,7,19,106
4,7,19,79
4,7,17,103
4,7,19,22
4,7,19,20
4,7,19,72
4,6,17,106
4,7,17,20
4,6,19,106
4,6,17,20
4,7,29,5
4,8,20,22
4,6,19,22
4,6,19,20
4,8,19,79
4,6,19,79
4,7,30,10
4,8,30,10
4,12,19,79
4,12,19,20
4,8,30,57
4,7,30,57
4,7,7,10
4,7,7,57
4,8,28,7
4,11,31,57
4,7,26,7
4,7,28,7
4,6,31,57
4,7,31,57
4,8,3,7
4,7,31,81
4,6,31,70
4,7,26,37
4,6,31,81
4,14,26,7
4,8,3,23
4,6,3,23
4,7,3,23
4,7,26,18
4,7,26,23
4,6,3,18
4,7,3,18
4,14,3,23
