original_code,high_low_code,movie_cope_number,actor,emotion
AK_A_32,AK_A_high,1,AK,anger
AK_A_04,AK_A_low,2,AK,anger
AK_D_12,AK_D_high,3,AK,disgust
AK_D_02,AK_D_low,4,AK,disgust
AK_F_24,AK_F_high,5,AK,fear
AK_F_02,AK_F_low,6,AK,fear
AK_H_15,AK_H_high,7,AK,happy
AK_H_28,AK_H_low,8,AK,happy
AK_N_09,AK_N_high,9,AK,neutral
AK_N_01,AK_N_low,10,AK,neutral
AK_P_21,AK_P_high,11,AK,pain
AK_P_59,AK_P_low,12,AK,pain
AK_S_23,AK_S_high,13,AK,sad
AK_S_06,AK_S_low,14,AK,sad
AL_A_20,AL_A_high,15,AL,anger
AL_A_03,AL_A_low,16,AL,anger
AL_D_29,AL_D_high,17,AL,disgust
AL_D_12,AL_D_low,18,AL,disgust
AL_F_46,AL_F_high,19,AL,fear
AL_F_08,AL_F_low,20,AL,fear
AL_H_31,AL_H_high,21,AL,happy
AL_H_03,AL_H_low,22,AL,happy
AL_N_06,AL_N_high,23,AL,neutral
AL_N_01,AL_N_low,24,AL,neutral
AL_P_39,AL_P_high,25,AL,pain
AL_P_20,AL_P_low,26,AL,pain
AL_S_53,AL_S_high,27,AL,sad
AL_S_04,AL_S_low,28,AL,sad
BP_A_41,BP_A_high,29,BP,anger
BP_A_10,BP_A_low,30,BP,anger
BP_D_25,BP_D_high,31,BP,disgust
BP_D_03,BP_D_low,32,BP,disgust
BP_F_46,BP_F_high,33,BP,fear
BP_F_02,BP_F_low,34,BP,fear
BP_H_16,BP_H_high,35,BP,happy
BP_H_05,BP_H_low,36,BP,happy
BP_N_07,BP_N_high,37,BP,neutral
BP_N_01,BP_N_low,38,BP,neutral
BP_P_18,BP_P_high,39,BP,pain
BP_P_02,BP_P_low,40,BP,pain
BP_S_18,BP_S_high,41,BP,sad
BP_S_13,BP_S_low,42,BP,sad
JvG_A_19,JvG_A_high,43,JvG,anger
JvG_A_14,JvG_A_low,44,JvG,anger
JvG_D_23,JvG_D_high,45,JvG,disgust
JvG_D_02,JvG_D_low,46,JvG,disgust
JvG_F_13,JvG_F_high,47,JvG,fear
JvG_F_01,JvG_F_low,48,JvG,fear
JvG_H_18,JvG_H_high,49,JvG,happy
JvG_H_03,JvG_H_low,50,JvG,happy
JvG_N_17,JvG_N_high,51,JvG,neutral
JvG_N_08,JvG_N_low,52,JvG,neutral
JvG_P_20,JvG_P_high,53,JvG,pain
JvG_P_16,JvG_P_low,54,JvG,pain
JvG_S_24,JvG_S_high,55,JvG,sad
JvG_S_12,JvG_S_low,56,JvG,sad
