Filename,high_low,Motion_Energy,Emotion,Emotion_Type
AK_A_32.mp4,high,2981961.935773502,A,Anger
AK_A_04.mp4,low,1882719.6183912521,A,Anger
AK_D_12.mp4,high,2854324.2491006753,D,Disgust
AK_D_02.mp4,low,2348577.220949887,D,Disgust
AK_F_24.mp4,high,4945327.267546052,F,Fear
AK_F_02.mp4,low,2521387.427604334,F,Fear
AK_H_15.mp4,high,3048367.1688777655,H,Happy
AK_H_28.mp4,low,1297677.8430943259,H,Happy
AK_N_09.mp4,high,1435351.9998135928,N,Neutral
AK_N_01.mp4,low,1368952.1609046285,N,Neutral
AK_P_21.mp4,high,6039528.726809404,P,Pain
AK_P_59.mp4,low,2740525.730708734,P,Pain
AK_S_23.mp4,high,2577121.715050833,S,Sadness
AK_S_06.mp4,low,1801638.2656707284,S,Sadness
AL_A_20.mp4,high,1987377.1139073623,A,Anger
AL_A_03.mp4,low,1826517.3935987712,A,Anger
AL_D_29.mp4,high,2226579.042348604,D,Disgust
AL_D_12.mp4,low,1344268.8344088332,D,Disgust
AL_F_46.mp4,high,3706951.166321446,F,Fear
AL_F_08.mp4,low,1712627.6443288603,F,Fear
AL_H_31.mp4,high,1817245.814428348,H,Happy
AL_H_03.mp4,low,1150218.563433296,H,Happy
AL_N_06.mp4,high,977356.8257104215,N,Neutral
AL_N_01.mp4,low,1033846.0059003588,N,Neutral
AL_P_39.mp4,high,3315945.1583737815,P,Pain
AL_P_20.mp4,low,2348731.934640787,P,Pain
AL_S_53.mp4,high,2072289.6344523286,S,Sadness
AL_S_04.mp4,low,1253482.0746504217,S,Sadness
BP_A_41.mp4,high,2496201.48966339,A,Anger
BP_A_10.mp4,low,1501286.3036944582,A,Anger
BP_D_25.mp4,high,2177583.0088128243,D,Disgust
BP_D_03.mp4,low,1328936.2985541115,D,Disgust
BP_F_46.mp4,high,3380268.2891623126,F,Fear
BP_F_02.mp4,low,2055008.4631857397,F,Fear
BP_H_16.mp4,high,2069027.2933882193,H,Happy
BP_H_05.mp4,low,1568287.8802005933,H,Happy
BP_N_07.mp4,high,1191716.8650236337,N,Neutral
BP_N_01.mp4,low,987970.5138646805,N,Neutral
BP_P_18.mp4,high,2974060.2289588344,P,Pain
BP_P_02.mp4,low,1476204.6224836013,P,Pain
BP_S_18.mp4,high,2664298.797107908,S,Sadness
BP_S_13.mp4,low,1277781.233296044,S,Sadness
JvG_A_19.mp4,high,2111406.6803740025,A,Anger
JvG_A_14.mp4,low,1750355.7140667946,A,Anger
JvG_D_23.mp4,high,3167296.768020979,D,Disgust
JvG_D_02.mp4,low,1710592.1444723357,D,Disgust
JvG_F_13.mp4,high,3193946.1840089583,F,Fear
JvG_F_01.mp4,low,2698136.612368185,F,Fear
JvG_H_18.mp4,high,2497011.7504265173,H,Happy
JvG_H_03.mp4,low,1380018.8179356812,H,Happy
JvG_N_17.mp4,high,1118937.2610401057,N,Neutral
JvG_N_08.mp4,low,861886.6812189203,N,Neutral
JvG_P_20.mp4,high,3940991.395625951,P,Pain
JvG_P_16.mp4,low,2699200.578169763,P,Pain
JvG_S_24.mp4,high,2849555.000032521,S,Sadness
JvG_S_12.mp4,low,2517704.969071514,S,Sadness
